Descrição;Média Mensal
Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Fabricação de açúcar em bruto;1
Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;1.333333333
Condomínios prediais;1
Condomínios prediais;1
Atividades de associações de defesa de direitos sociais;1.666666667
Atividade médica ambulatorial restrita a consultas;1
Condomínios prediais;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Comércio a varejo de pneumáticos e câmaras-de-ar;1.25
Condomínios prediais;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;2.045454545
Fabricação de açúcar em bruto;4.666666667
Perfuração e construção de poços de água;1.75
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;5.5
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.5
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;1
Fabricação de calçados de couro;3.666666667
Comércio atacadista de pescados e frutos do mar;1
Curtimento e outras preparações de couro;1.5
Formação de condutores;1
Fabricação de calçados de material sintético;2.055555556
Serviços de assistência social sem alojamento;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1.5
Comércio varejista de outros produtos não especificados anteriormente;3
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Instalações hidráulicas, sanitárias e de gás;1
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;2
Atividades de associações de defesa de direitos sociais;2
Comércio por atacado de caminhões novos e usados;1
Comércio por atacado de caminhões novos e usados;1.25
Condomínios prediais;1
Carga e descarga;1
Carga e descarga;1
Atividades de associações de defesa de direitos sociais;1
Condomínios prediais;1
Condomínios prediais;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Fabricação de sucos concentrados de frutas, hortaliças e legumes;1.8
Outras obras de engenharia civil não especificadas anteriormente;1.5
Fabricação de aparelhos e equipamentos de medida, teste e controle;3
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;3.5
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;1.2
Serviços de organização de feiras, congressos, exposições e festas;1
Fabricação de outros produtos de metal não especificados anteriormente;6
Administração pública em geral;1
Fabricação de máquinas-ferramenta, peças e acessórios;1
Comércio a varejo de pneumáticos e câmaras-de-ar;1
Comércio a varejo de pneumáticos e câmaras-de-ar;1
Comércio a varejo de pneumáticos e câmaras-de-ar;1
Comércio a varejo de pneumáticos e câmaras-de-ar;1.25
Comércio varejista de tintas e materiais para pintura;1
Comércio varejista de calçados;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Fabricação de azulejos e pisos;1
Outras obras de acabamento da construção;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1.333333333
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;1.772727273
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2
Construção de rodovias e ferrovias;1
Construção de rodovias e ferrovias;2.666666667
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1.3
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1.875
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1
Transporte rodoviário de produtos perigosos;1
Fabricação de aditivos de uso industrial;1.666666667
Comércio varejista de ferragens e ferramentas;3
Construção de edifícios;2.181818182
Comércio atacadista de produtos da extração mineral, exceto combustíveis;1
Serviços de engenharia;2
Atividades de associações de defesa de direitos sociais;1
Compra e venda de imóveis próprios;1
Corretagem no aluguel de imóveis;1
Atividades de televisão aberta;1
Transporte rodoviário de produtos perigosos;1
Aluguel de imóveis próprios;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual;1
Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente;1.25
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Educação superior - graduação e pós-graduação;1
Educação superior - graduação e pós-graduação;1
Clubes sociais, esportivos e similares;10.42857143
Clubes sociais, esportivos e similares;3.111111111
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;8
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1.214285714
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Construção de edifícios;1
Educação superior - graduação;1
Torrefação e moagem de café;1
Torrefação e moagem de café;1
Administração pública em geral;1.5
Hotéis;1.8125
Obras de terraplenagem;1.666666667
Tratamento e disposição de resíduos não-perigosos;2
Coleta de resíduos não-perigosos;1
Locação de mão-de-obra temporária;2
Locação de mão-de-obra temporária;1
Construção de edifícios;1.25
Comércio atacadista de artigos de escritório e de papelaria;1.25
Comércio atacadista de artigos de escritório e de papelaria;1.4
Fabricação de meias;1
Incorporação de empreendimentos imobiliários;1.666666667
Fabricação de outros produtos químicos não especificados anteriormente;1.333333333
Serviços de engenharia;1
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;1
Incorporação de empreendimentos imobiliários;1
Comércio varejista de outros produtos não especificados anteriormente;1
Condomínios prediais;1
Condomínios prediais;1
Fabricação de aditivos de uso industrial;1
Restaurantes e similares;1
Comércio varejista de ferragens e ferramentas;1
Comércio varejista de ferragens e ferramentas;1.75
Comércio varejista de materiais de construção em geral;1.3
Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios;2.058823529
Comércio varejista de combustíveis para veículos automotores;1
Fundição de ferro e aço;3.666666667
Comércio atacadista de artigos de escritório e de papelaria;1.333333333
Comércio atacadista de artigos de escritório e de papelaria;1
Fabricação de defensivos agrícolas;1
Ensino fundamental;1
Atividades de associações de defesa de direitos sociais;1
Hotéis;1.5
Outras obras de engenharia civil não especificadas anteriormente;3.5
Outras obras de engenharia civil não especificadas anteriormente;4.133333333
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Fabricação de componentes eletrônicos;1.5
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Fabricação de artefatos de material plástico para uso pessoal e doméstico;1
Fabricação de produtos de trefilados de metal padronizados;1
Comércio varejista de artigos de colchoaria;1.666666667
Fabricação de refrigerantes;1.391304348
Comércio varejista de artigos do vestuário e acessórios;1
Agenciamento de cargas, exceto para o transporte marítimo;1
Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;1.5
Condomínios prediais;1
Administração de consórcios para aquisição de bens e direitos;1
